tags,data,stamps
17,-32.20472717285156,1737571699.102
2,0.001220703125,1737571699.168
15,0.001220703125,1737571699.168
4,0.394134521484375,1737571699.168
5,0.34515380859375,1737571699.168
6,0.3790283203125,1737571699.168
8,0.022674560546875,1737571699.168
9,0.01776123046875,1737571699.168
10,0.017852783203125,1737571699.168
11,242.25897216796875,1737571699.168
12,226.55181884765625,1737571699.168
13,351.8822937011719,1737571699.168
14,221.30584716796875,1737571699.168
1,27.614267578125,1737571699.168
3,-25.035131835937506,1737571699.168
7,2002.0,1737571699.168
16,-32.46001052856445,1737571699.169
17,-32.197731018066406,1737571699.169
2,0.00274658203125,1737571699.235
15,0.00274658203125,1737571699.235
4,0.394134521484375,1737571699.235
5,0.34515380859375,1737571699.235
6,0.38177490234375,1737571699.235
8,0.022613525390625,1737571699.235
9,0.017852783203125,1737571699.235
10,0.01788330078125,1737571699.235
11,242.10159301757812,1737571699.235
12,226.54495239257812,1737571699.235
13,351.7074279785156,1737571699.235
14,221.30584716796875,1737571699.235
1,27.609746093749994,1737571699.235
3,-25.369299316406256,1737571699.235
7,2002.0,1737571699.235
16,-32.46001052856445,1737571699.236
17,-32.2257080078125,1737571699.236
2,0.03631591796875,1737571699.302
15,0.03631591796875,1737571699.302
4,0.401458740234375,1737571699.302
5,0.34698486328125,1737571699.302
6,0.380859375,1737571699.302
8,0.022613525390625,1737571699.302
9,0.017608642578125,1737571699.302
10,0.0179443359375,1737571699.302
11,242.10159301757812,1737571699.302
12,226.54495239257812,1737571699.302
13,351.7074279785156,1737571699.302
14,221.30584716796875,1737571699.302
1,27.650439453124992,1737571699.302
3,-24.980200195312506,1737571699.302
7,2002.0,1737571699.302
16,-32.46001052856445,1737571699.302
17,-32.2099723815918,1737571699.302
2,-0.057373046875,1737571700.102
15,-0.057373046875,1737571700.102
4,0.3936767578125,1737571700.102
5,0.34515380859375,1737571700.102
6,0.378570556640625,1737571700.102
8,0.022613525390625,1737571700.102
9,0.017852783203125,1737571700.102
10,0.017852783203125,1737571700.102
11,242.13656616210938,1737571700.102
12,226.54495239257812,1737571700.102
13,351.7598876953125,1737571700.102
14,221.30584716796875,1737571700.102
1,27.62783203124999,1737571700.102
3,-24.989355468750006,1737571700.102
7,2002.0,1737571700.102
16,-32.46001052856445,1737571700.102
17,-32.218711853027344,1737571700.102
2,-0.00335693359375,1737571700.168
15,-0.00335693359375,1737571700.168
4,0.3936767578125,1737571700.168
5,0.34698486328125,1737571700.168
6,0.3790283203125,1737571700.168
8,0.0225830078125,1737571700.168
9,0.01788330078125,1737571700.168
10,0.017852783203125,1737571700.168
11,241.99667358398438,1737571700.168
12,226.54495239257812,1737571700.168
13,351.7598876953125,1737571700.168
14,221.30584716796875,1737571700.168
1,27.636875,1737571700.168
3,-24.948156738281256,1737571700.168
7,2002.0,1737571700.168
16,-32.46001052856445,1737571700.169
17,-32.201229095458984,1737571700.169
2,0.01312255859375,1737571700.235
15,0.01312255859375,1737571700.235
4,0.39276123046875,1737571700.235
5,0.347442626953125,1737571700.235
6,0.377197265625,1737571700.235
8,0.022613525390625,1737571700.235
9,0.017730712890625,1737571700.235
10,0.01788330078125,1737571700.235
11,242.20651245117188,1737571700.235
12,226.54495239257812,1737571700.235
13,351.6374816894531,1737571700.235
14,221.30584716796875,1737571700.235
1,27.632353515624995,1737571700.235
3,-25.012243652343756,1737571700.235
7,2002.0,1737571700.235
16,-32.46001052856445,1737571700.235
17,-32.21346664428711,1737571700.235
2,0.02197265625,1737571700.302
15,0.02197265625,1737571700.302
4,0.3936767578125,1737571700.302
5,0.349273681640625,1737571700.302
6,0.379486083984375,1737571700.302
8,0.02276611328125,1737571700.302
9,0.017852783203125,1737571700.302
10,0.01788330078125,1737571700.302
11,242.2939453125,1737571700.302
12,226.5380859375,1737571700.302
13,351.7074279785156,1737571700.302
14,221.30584716796875,1737571700.302
1,27.650439453124992,1737571700.302
3,-24.957312011718756,1737571700.302
7,2002.0,1737571700.302
16,-32.46001052856445,1737571700.302
17,-32.21521759033203,1737571700.302
2,0.01708984375,1737571701.101
15,0.01708984375,1737571701.101
4,0.386810302734375,1737571701.101
5,0.34332275390625,1737571701.101
6,0.379486083984375,1737571701.101
8,0.02288818359375,1737571701.101
9,0.01776123046875,1737571701.101
10,0.0179443359375,1737571701.101
11,241.90924072265625,1737571701.101
12,226.53121948242188,1737571701.101
13,351.7074279785156,1737571701.101
14,221.30584716796875,1737571701.101
1,27.641396484374997,1737571701.101
3,-25.158728027343756,1737571701.101
7,2002.0,1737571701.101
16,-32.46001052856445,1737571701.102
17,-32.21696472167969,1737571701.102
2,0.01220703125,1737571701.168
